district,year,month,threshold,area,NDVI_mean,NDVI_min,NDVI_max,EVI_mean,EVI_min,EVI_max,GNDVI_mean,GNDVI_min,GNDVI_max,SAVI_mean,SAVI_min,SAVI_max,NDMI_mean,NDMI_min,NDMI_max,BSI_mean,BSI_min,BSI_max,BUAI_mean,BUAI_min,BUAI_max,NDBI_mean,NDBI_min,NDBI_max,NBR_mean,NBR_min,NBR_max,NDSI_mean,NDSI_min,NDSI_max,LCCI_mean,LCCI_min,LCCI_max,NDWI_mean,NDWI_min,NDWI_max,TVI_mean,TVI_min,TVI_max,MSAVI_mean,MSAVI_min,MSAVI_max,NDRE_mean,NDRE_min,NDRE_max,PSRI_mean,PSRI_min,PSRI_max,WDRVI_mean,WDRVI_min,WDRVI_max,MCARI_mean,MCARI_min,MCARI_max,ARVI_mean,ARVI_min,ARVI_max,NDTI_mean,NDTI_min,NDTI_max,CCCI_mean,CCCI_min,CCCI_max,PRI_mean,PRI_min,PRI_max,avg_yield,yield
attock,2018,14,0.421085646,330002.8475,0.514570699,0.000659196,0.815725803,0.472910254,0.000353507,0.999657232,0.443058355,-0.16481775,0.691585302,0.436625339,0.000437028,0.7489977,0.248067483,-0.315435052,0.726175606,-0.21954894,-0.544419134,0.268719645,0.619728503,0.158630665,2.44234621,-0.248067483,-0.726175606,0.315435052,0.456862504,-0.295504779,0.824098527,-0.21835704,-0.525970459,0.586428463,2.375297997,0.001319261,8.853391685,0.248067483,-0.315435052,0.726175606,11.19843442,0.3958,28.706,0.287081621,0.000173667,0.658082911,0.390263397,-0.200000003,0.707312524,-0.061938506,-0.504151986,0.214059608,-0.505147298,-0.817963785,-0.007384548,0.552850458,0.017844,1.4133,0.454181943,-0.174046471,0.735451725,0.247782686,-0.194895685,0.46270591,0.754502195,-221.8335266,6.538034439,-0.153140013,-0.4340167,0.1766635,16.0,211201.82239999998
attock,2018,15,0.362710599,330002.8475,0.542405766,0.001003009,0.811263144,0.486069469,0.000647752,0.978239968,0.452348939,-0.085242897,0.692453444,0.458019542,0.000734803,0.744695635,0.249691034,-0.251348197,0.591721535,-0.224986793,-0.499846739,0.157357237,0.612552215,0.258204585,2.002688034,-0.249691034,-0.591721535,0.251348197,0.46853318,-0.205056176,0.789224803,-0.228553882,-0.508715034,0.445087492,2.614206781,0.002008032,8.6125094,0.249691034,-0.251348197,0.591721535,11.6870651,-0.412,26.68866667,0.299096864,0.000333537,0.645163811,0.406883069,-0.111704499,0.696928263,-0.078263471,-0.390251496,0.208781964,-0.478688334,-0.817849973,-0.02020049,0.575460511,-0.012768,1.317772,0.478468471,-0.074964364,0.736866998,0.256360667,-0.034096912,0.449925452,0.746716332,-111.3693848,4.251105309,-0.165467784,-0.372812148,0.225090825,16.0,211201.82239999998
attock,2018,16,0.3539266,330002.8475,0.264891332,0.005583127,0.70774585,0.224802566,0.004605229,0.852383844,0.268757986,-0.080699056,0.595382452,0.223011297,0.0046875,0.644614657,0.025306896,-0.326608062,0.533380687,-0.023885563,-0.437438046,0.234330096,0.972458425,0.304370426,2.088201435,-0.025306896,-0.533380687,0.326608062,0.202114859,-0.31970644,0.746346176,-0.245729342,-0.685548425,0.421600491,0.81774148,0.011228946,5.073586085,0.025306896,-0.326608062,0.533380687,5.176271423,-1.524,23.56933333,0.13779914,0.002724227,0.539053584,0.191090137,-0.116680101,0.612255454,0.013996746,-0.287918957,0.247085549,-0.696342069,-0.816327687,-0.255409226,0.259619454,-0.029472,1.158938,0.256360305,-0.066431117,0.643702491,0.18229843,-0.037551593,0.414643168,0.717959732,-146.3896179,42.3257103,-0.020089038,-0.258249831,0.207383616,16.0,211201.82239999998
attock,2018,17,0.3439266,330002.8475,0.172329362,0.006223283,0.67810899,0.150125763,0.004517156,0.894325658,0.222125349,-0.080147535,0.571892262,0.149922328,0.004836472,0.629685703,-0.082713601,-0.268370688,0.521458924,0.075625127,-0.428522768,0.206055774,1.192728362,0.316264353,2.052642519,0.082713601,-0.521458924,0.268370688,0.031665117,-0.232683226,0.725910604,-0.300096633,-0.438689023,0.351013035,0.468280272,0.012533411,4.437876215,-0.082713601,-0.268370688,0.521458924,3.261687777,-0.8805,24.458,0.098754476,0.002418691,0.541787866,0.129365359,-0.104164459,0.562350869,0.077093489,-0.264328029,0.246714689,-0.74611925,-0.816112806,-0.303200915,0.171177124,-0.020562,1.206345,0.20227874,-0.06293482,0.628363368,0.11539724,-0.05603319,0.388720661,0.76790171,-78.25218964,56.99692154,0.064030361,-0.235489015,0.219413564,16.0,211201.82239999998
attock,2019,11,0.2930704,330956.7887,0.194931337,0.000640615,0.785161912,0.172419835,0.000389651,0.981715227,0.222402974,-0.155025229,0.667716086,0.166212218,0.00042952,0.720988043,-0.023147534,-0.684198081,0.592337906,0.014460325,-0.505209734,0.57799317,1.071502171,0.260282488,5.365372812,0.023147534,-0.592337906,0.684198081,0.092669022,-0.750182986,0.794086635,-0.244720256,-0.804395974,0.604934633,0.591494017,0.001282051,7.482892057,-0.023147534,-0.684198081,0.592337906,3.773161503,-1.077,27.257,0.105589292,0.000173006,0.630309297,0.142026794,-0.200438112,0.64787215,0.043821008,-0.541377126,0.337456391,-0.730464441,-0.817969934,-0.08732013,0.192465366,-0.031758,1.34118,0.196612532,-0.176345281,0.710947228,0.119651418,-0.224986061,0.479601502,0.753453724,-292.8451233,125.1171646,0.003298677,-0.463207788,0.269401878,20.6,272708.3938888
attock,2019,12,0.245824375,330956.7887,0.318247111,0.001153402,0.70088309,0.31000118,0.000877347,0.878376846,0.284348715,-0.134030893,0.591361463,0.269122067,0.000804682,0.621909953,0.090963021,-0.349334389,0.596356809,-0.09614907,-0.470735021,0.231499519,0.855086062,0.25386629,2.22666234,-0.090963021,-0.596356809,0.349334389,0.261377729,-0.365015209,0.785078943,-0.199052221,-0.549981296,0.600897193,1.059928415,0.002309469,4.964781887,0.090963021,-0.349334389,0.596356809,6.738195729,0.114689655,21.7924,0.169272004,0.000340931,0.506090033,0.233597039,-0.12465404,0.563301146,-0.03373506,-0.44515969,0.203563273,-0.663532916,-0.817800168,-0.263418273,0.333413116,0.011084276,1.0764288,0.271206103,-0.161037145,0.606715477,0.18157742,-0.064823695,0.430662066,0.734361628,-85.1809845,38.49113464,-0.101364263,-0.377870872,0.127714283,20.6,272708.3938888
attock,2019,13,0.242475523,330956.7887,0.426073243,0.005909389,0.749030769,0.431718826,0.003108594,0.995890943,0.354130218,-0.160645664,0.63753891,0.361247014,0.0039239,0.682647428,0.223163623,-0.364544749,0.622900009,-0.201489829,-0.499316753,0.282667728,0.652078838,0.232369617,3.033974531,-0.223163623,-0.622900009,0.364544749,0.437143072,-0.368804365,0.815942943,-0.142782302,-0.526414573,0.543369889,1.695479032,0.011889036,6.176049811,0.223163623,-0.364544749,0.622900009,9.384204141,-0.727,23.96725,0.233222095,0.001562992,0.573844488,0.317017192,-0.192954659,0.64234066,-0.069762152,-0.408424908,0.183860941,-0.583425799,-0.81621881,-0.171486316,0.461629594,-0.019938,1.1839965,0.355643318,-0.169265881,0.663306912,0.247664354,-0.069546364,0.450954586,0.739968392,-39.96706772,6.24497509,-0.159591137,-0.370227699,0.123943187,20.6,272708.3938888
attock,2019,14,0.458602565,330956.7887,0.5596216,0.00309119,0.826178014,0.531893415,0.00154703,0.999902686,0.449768386,-0.173497275,0.701930523,0.472363227,0.001918047,0.752435724,0.305197071,-0.50553894,0.700335026,-0.277512787,-0.581923523,0.441038306,0.543774294,0.179383737,3.492175721,-0.305197071,-0.700335026,0.50553894,0.53917995,-0.562283933,0.874294341,-0.167890921,-0.734770894,0.644278586,2.820843095,0.00620155,9.506024096,0.305197071,-0.50553894,0.700335026,12.20204865,-2.248,27.762,0.310004658,0.000708534,0.655703268,0.418892316,-0.162734598,0.711820543,-0.095639412,-0.453510436,0.261928266,-0.457630571,-0.817157346,0.024676851,0.599228754,-0.078456,1.365528,0.475839938,-0.18298447,0.73841246,0.290299871,-0.33539325,0.644927561,0.744486041,-36.75130844,2.621243,-0.212359691,-0.467817896,0.214917826,20.6,272708.3938888
attock,2019,15,0.398919242,330956.7887,0.567926761,0.048684299,0.796241879,0.52399978,0.022163351,0.996453901,0.457975336,-0.082207508,0.68187499,0.48065935,0.030560145,0.731946952,0.312111888,-0.524834752,0.686736941,-0.275511437,-0.519752951,0.405284578,0.532844967,0.204022635,3.600017728,-0.312111888,-0.686736941,0.524834752,0.539023241,-0.665580988,0.800893962,-0.17007358,-0.658153415,0.456649572,2.848398725,0.10366947,8.042193755,0.312111888,-0.524834752,0.686736941,12.52597527,0.824666667,27.249,0.31754575,0.011538049,0.645518474,0.412048709,-0.133970916,0.678980887,-0.095097672,-0.373932404,0.157644854,-0.452339534,-0.801247404,-0.058384643,0.615350213,0.0415104,1.344828,0.494878865,-0.072433956,0.724214693,0.281277765,-0.221671641,0.472889841,0.721406983,-150.4180145,33.95061874,-0.189580007,-0.382105081,0.14043691,20.6,272708.3938888
attock,2019,16,0.382496037,330956.7887,0.325062999,0.037901882,0.769629061,0.262657834,0.021059924,0.917253482,0.302621603,-0.088731579,0.638822496,0.271348596,0.027223802,0.711119148,0.049804813,-0.373426765,0.561513245,-0.050441135,-0.442681207,0.277623501,0.933823731,0.287302412,2.441539284,-0.049804813,-0.561513245,0.373426765,0.229070003,-0.513540447,0.755887568,-0.25968928,-0.63580507,0.303409457,1.177700255,0.080246038,7.043690295,0.049804813,-0.373426765,0.561513245,6.439341365,0.005692308,26.12025,0.168037769,0.011860554,0.616690551,0.224191485,-0.139181256,0.616716981,-0.015872244,-0.334035686,0.214644725,-0.651565852,-0.805058659,-0.118518925,0.320012258,0.020971385,1.2877635,0.307160297,-0.06668462,0.710216936,0.187642025,-0.195789188,0.417243958,0.692123171,-45.86587143,20.08559799,-0.044409285,-0.291448024,0.192077257,20.6,272708.3938888
